SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,58.0,細懸浮微粒,普通,1.0,0.12,38,33.0,24.0,18,1.2,2.0,0.7,3.3,80.0,2017-10-13 00:00,,0.1,18.0,25.0,1.0,,,
汐止,新北市,30.0,,良好,14.0,0.14,26,21.0,29.0,7,14.0,16.0,1.7,4.7,42.0,2017-10-13 00:00,,0.2,9.0,26.0,5.0,,,
萬里,新北市,64.0,懸浮微粒,普通,2.0,0.14,41,35.0,82.0,18,0.4,1.3,0.9,9.1,42.0,2017-10-13 00:00,,0.1,19.0,73.0,3.0,,,
林園,高雄市,77.0,臭氧八小時,普通,5.1,0.15,45,63.0,35.0,8,4.5,4.8,0.2,1.2,278.0,2017-10-13 00:00,,0.2,16.0,39.0,6.0,,,
楠梓,高雄市,106.0,懸浮微粒,對敏感族群不良,3.4,0.36,11,33.0,137.0,23,21.0,20.0,-0.5,1.5,47.0,2017-10-13 00:00,,0.4,28.0,138.0,3.0,,,
左營,高雄市,99.0,懸浮微粒,普通,4.2,0.57,11,36.0,136.0,39,28.0,29.0,1.1,2.5,50.0,2017-10-13 00:00,,0.4,30.0,124.0,4.0,,,
前金,高雄市,90.0,懸浮微粒,普通,6.3,0.47,13,41.0,133.0,31,24.0,25.0,0.8,2.4,312.0,2017-10-13 00:00,,0.4,29.0,111.0,4.0,,,
前鎮,高雄市,79.0,細懸浮微粒,普通,3.0,0.44,30,46.0,85.0,16,16.0,17.0,1.5,0.6,4.0,2017-10-13 00:00,,0.3,27.0,85.0,4.0,,,
小港,高雄市,78.0,細懸浮微粒,普通,9.4,0.28,26,44.0,78.0,32,,,,1.7,60.0,2017-10-13 00:00,,0.2,26.0,93.0,8.0,,,
屏東,屏東縣,,,設備維護,,0.39,,,,,,,,0.6,349.0,2017-10-13 00:00,,0.5,,,4.0,,,
新店,新北市,21.0,,良好,1.3,0.17,31,19.0,18.0,6,4.9,6.2,1.3,1.7,67.0,2017-10-13 00:00,,0.3,7.0,19.0,2.0,,,
土城,新北市,28.0,,良好,3.3,0.21,27,18.0,25.0,12,10.0,12.0,1.2,2.0,109.0,2017-10-13 00:00,,0.3,9.0,21.0,3.0,,,
