SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
林口,新北市,119.0,細懸浮微粒,對敏感族群不良,3.8,0.29,38,38.0,86.0,38.0,14.0,16.0,1.9,1.3,62.0,2016-12-26 23:00,,0.3,42.0,96.0,,,,
淡水,新北市,92.0,細懸浮微粒,普通,2.2,0.59,25,31.0,64.0,31.0,19.0,21.0,2.3,nan,nan,2016-12-26 23:00,,0.5,32.0,65.0,,,,
士林,臺北市,98.0,細懸浮微粒,普通,2.9,0.67,22,32.0,46.0,30.0,25.0,26.0,0.7,0.5,254.0,2016-12-26 23:00,,0.6,34.0,63.0,,,,
中山,臺北市,107.0,細懸浮微粒,對敏感族群不良,11.0,0.85,12,23.0,68.0,28.0,39.0,50.0,11.0,1.0,131.0,2016-12-26 23:00,,0.9,38.0,75.0,,,,
萬華,臺北市,104.0,細懸浮微粒,對敏感族群不良,7.5,0.52,24,22.0,66.0,31.0,30.0,33.0,3.7,1.2,86.0,2016-12-26 23:00,,0.8,37.0,69.0,,,,
古亭,臺北市,118.0,細懸浮微粒,對敏感族群不良,4.8,0.62,24,33.0,61.0,39.0,28.0,31.0,2.9,1.6,125.0,2016-12-26 23:00,,0.7,42.0,78.0,,,,
松山,臺北市,97.0,細懸浮微粒,普通,7.2,0.44,34,39.0,60.0,28.0,22.0,23.0,1.0,1.0,87.0,2016-12-26 23:00,,0.6,34.0,71.0,,,,
大同,臺北市,104.0,細懸浮微粒,對敏感族群不良,10.0,1.15,-,nan,69.0,34.0,46.0,85.0,39.0,nan,nan,2016-12-26 23:00,,1.3,37.0,80.0,,,,
桃園,桃園市,113.0,細懸浮微粒,對敏感族群不良,5.1,0.55,24,29.0,71.0,36.0,21.0,21.0,0.6,0.6,64.0,2016-12-26 23:00,,0.6,40.0,75.0,,,,
大園,桃園市,121.0,細懸浮微粒,對敏感族群不良,7.2,0.35,19,43.0,68.0,51.0,33.0,36.0,3.4,2.0,89.0,2016-12-26 23:00,,0.3,43.0,75.0,,,,
觀音,桃園市,95.0,細懸浮微粒,普通,5.7,0.29,38,48.0,72.0,39.0,15.0,16.0,0.5,1.9,99.0,2016-12-26 23:00,,0.3,33.0,65.0,,,,
平鎮,桃園市,113.0,細懸浮微粒,對敏感族群不良,6.5,0.47,22,32.0,83.0,46.0,33.0,34.0,0.8,1.7,26.0,2016-12-26 23:00,,0.4,40.0,80.0,,,,
龍潭,桃園市,149.0,細懸浮微粒,對敏感族群不良,5.7,0.59,18,28.0,94.0,54.0,29.0,30.0,1.7,1.4,56.0,2016-12-26 23:00,,0.5,54.0,86.0,,,,
湖口,新竹縣,97.0,細懸浮微粒,普通,4.3,0.38,48,47.0,91.0,43.0,12.0,12.0,-0.1,1.7,59.0,2016-12-26 23:00,,0.3,34.0,75.0,,,,
竹東,新竹縣,130.0,細懸浮微粒,對敏感族群不良,3.2,0.36,21,23.0,92.0,57.0,17.0,17.0,0.3,0.8,346.0,2016-12-26 23:00,,0.4,47.0,80.0,,,,
新竹,新竹市,92.0,細懸浮微粒,普通,4.4,0.5,36,38.0,87.0,45.0,22.0,23.0,0.9,1.0,90.0,2016-12-26 23:00,,0.4,32.0,75.0,,,,
頭份,苗栗縣,100.0,細懸浮微粒,普通,1.1,0.4,33,37.0,78.0,42.0,20.0,21.0,1.2,1.2,82.0,2016-12-26 23:00,,0.3,35.0,67.0,,,,
苗栗,苗栗縣,91.0,細懸浮微粒,普通,4.0,0.42,32,34.0,92.0,51.0,17.0,17.0,0.9,1.5,58.0,2016-12-26 23:00,,0.4,32.0,76.0,,,,
三義,苗栗縣,81.0,細懸浮微粒,普通,1.6,0.3,30,33.0,47.0,17.0,8.1,8.2,0.1,2.9,50.0,2016-12-26 23:00,,0.3,28.0,62.0,,,,
豐原,臺中市,129.0,細懸浮微粒,對敏感族群不良,1.9,0.31,27,19.0,62.0,35.0,8.4,9.4,1.0,2.1,67.0,2016-12-26 23:00,,0.5,46.0,76.0,,,,
沙鹿,臺中市,99.0,細懸浮微粒,普通,2.1,0.34,35,34.0,72.0,42.0,13.0,14.0,1.2,3.7,30.0,2016-12-26 23:00,,0.4,35.0,70.0,,,,
大里,臺中市,125.0,細懸浮微粒,對敏感族群不良,3.3,0.95,3.7,20.0,91.0,62.0,30.0,40.0,9.8,1.3,44.0,2016-12-26 23:00,,0.7,45.0,92.0,,,,
忠明,臺中市,103.0,細懸浮微粒,對敏感族群不良,2.3,0.44,20,20.0,77.0,33.0,19.0,22.0,3.0,1.5,49.0,2016-12-26 23:00,,0.5,36.0,72.0,,,,
西屯,臺中市,121.0,細懸浮微粒,對敏感族群不良,1.4,0.33,29,33.0,79.0,45.0,16.0,16.0,-0.2,2.4,62.0,2016-12-26 23:00,,0.4,43.0,77.0,,,,
彰化,彰化縣,105.0,細懸浮微粒,對敏感族群不良,3.0,0.47,24,26.0,54.0,41.0,17.0,17.0,-0.2,2.5,80.0,2016-12-26 23:00,,0.5,37.0,56.0,,,,
線西,彰化縣,104.0,細懸浮微粒,對敏感族群不良,2.2,0.3,38,38.0,68.0,44.0,11.0,12.0,1.2,4.0,45.0,2016-12-26 23:00,,0.3,37.0,65.0,,,,
二林,彰化縣,84.0,細懸浮微粒,普通,4.4,0.4,24,32.0,66.0,27.0,15.0,16.0,1.3,2.3,41.0,2016-12-26 23:00,,0.3,29.0,71.0,,,,
南投,南投縣,135.0,細懸浮微粒,對敏感族群不良,3.2,0.59,2.5,14.0,89.0,46.0,29.0,34.0,5.2,1.3,40.0,2016-12-26 23:00,,0.6,49.0,95.0,,,,
斗六,雲林縣,156.0,細懸浮微粒,對所有族群不良,5.1,0.57,3.6,19.0,106.0,60.0,25.0,29.0,3.5,1.7,38.0,2016-12-26 23:00,,0.5,64.0,107.0,,,,
崙背,雲林縣,104.0,細懸浮微粒,對敏感族群不良,2.9,0.3,17,29.0,64.0,32.0,15.0,15.0,0.8,2.6,81.0,2016-12-26 23:00,,0.3,37.0,74.0,,,,
新港,嘉義縣,105.0,細懸浮微粒,對敏感族群不良,2.1,0.33,18,28.0,78.0,34.0,11.0,12.0,1.3,2.4,64.0,2016-12-26 23:00,,0.3,37.0,85.0,,,,
朴子,嘉義縣,90.0,細懸浮微粒,普通,1.7,0.21,29,36.0,66.0,25.0,6.3,7.8,1.5,1.7,105.0,2016-12-26 23:00,,0.3,31.0,76.0,,,,
臺西,雲林縣,90.0,細懸浮微粒,普通,2.5,0.18,42,45.0,48.0,36.0,6.0,7.0,1.0,6.0,25.0,2016-12-26 23:00,,0.2,31.0,46.0,,,,
嘉義,嘉義市,154.0,細懸浮微粒,對所有族群不良,5.2,0.69,3.6,19.0,120.0,48.0,35.0,39.0,3.6,2.2,357.0,2016-12-26 23:00,,0.7,60.0,115.0,,,,
新營,臺南市,152.0,細懸浮微粒,對所有族群不良,3.5,0.49,3.1,25.0,101.0,54.0,30.0,32.0,2.2,2.0,36.0,2016-12-26 23:00,,0.4,56.0,101.0,,,,
善化,臺南市,152.0,細懸浮微粒,對所有族群不良,5.3,0.41,11,28.0,97.0,58.0,21.0,23.0,1.2,2.6,342.0,2016-12-26 23:00,,0.4,57.0,94.0,,,,
安南,臺南市,130.0,細懸浮微粒,對敏感族群不良,2.9,0.39,14,28.0,83.0,42.0,20.0,22.0,1.6,1.9,336.0,2016-12-26 23:00,,0.4,47.0,95.0,,,,
臺南,臺南市,145.0,細懸浮微粒,對敏感族群不良,4.2,0.52,15,29.0,77.0,57.0,24.0,26.0,1.7,2.4,57.0,2016-12-26 23:00,,0.6,53.0,84.0,,,,
美濃,高雄市,128.0,細懸浮微粒,對敏感族群不良,1.4,0.45,15,34.0,57.0,36.0,11.0,13.0,1.8,0.5,70.0,2016-12-26 23:00,,0.5,46.0,76.0,,,,
橋頭,高雄市,154.0,細懸浮微粒,對所有族群不良,3.1,0.57,9.7,29.0,125.0,63.0,25.0,26.0,1.5,2.5,47.0,2016-12-26 23:00,,0.6,60.0,122.0,,,,
仁武,高雄市,154.0,細懸浮微粒,對所有族群不良,3.0,0.57,9,30.0,133.0,68.0,24.0,28.0,3.1,2.4,311.0,2016-12-26 23:00,,0.5,61.0,129.0,,,,
鳳山,高雄市,154.0,細懸浮微粒,對所有族群不良,5.7,0.98,3.7,29.0,122.0,60.0,40.0,44.0,4.5,1.5,298.0,2016-12-26 23:00,,0.7,60.0,134.0,,,,
大寮,高雄市,152.0,細懸浮微粒,對所有族群不良,3.5,0.79,3.3,37.0,136.0,67.0,37.0,40.0,3.4,1.9,321.0,2016-12-26 23:00,,0.6,57.0,116.0,,,,
林園,高雄市,110.0,細懸浮微粒,對敏感族群不良,6.9,0.49,26,44.0,79.0,42.0,19.0,20.0,1.0,1.7,27.0,2016-12-26 23:00,,0.5,39.0,76.0,,,,
