SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,34,nan,良好,1.0,0.3,20,32.0,21,9,12.0,13.0,0.9,0.5,186.0,2017-02-08 00:00,,0.3,11,26,,,,
汐止,新北市,37,nan,良好,2.9,0.33,23,30.0,28,11,20.0,23.0,2.9,1.5,78.0,2017-02-08 00:00,,0.3,12,31,,,,
萬里,新北市,44,nan,良好,2.0,0.15,35,44.0,45,10,6.1,7.6,1.5,1.5,213.0,2017-02-08 00:00,,0.1,13,48,,,,
新店,新北市,38,nan,良好,1.3,0.26,34,36.0,28,13,13.0,14.0,1.2,0.8,99.0,2017-02-08 00:00,,0.3,12,31,,,,
土城,新北市,32,nan,良好,1.6,0.31,33,35.0,30,12,15.0,15.0,0.6,1.1,268.0,2017-02-08 00:00,,0.4,9,31,,,,
板橋,新北市,35,nan,良好,1.4,0.34,30,28.0,33,7,19.0,20.0,1.3,3.4,67.0,2017-02-08 00:00,,0.4,8,38,,,,
新莊,新北市,32,nan,良好,1.5,0.26,38,35.0,29,ND,11.0,11.0,0.5,5.0,51.0,2017-02-08 00:00,,0.3,6,34,,,,
菜寮,新北市,38,nan,良好,2.7,0.28,34,33.0,28,13,14.0,15.0,0.6,2.7,83.0,2017-02-08 00:00,,0.3,12,32,,,,
林口,新北市,38,nan,良好,5.7,0.17,39,36.0,39,9,6.7,7.6,0.9,2.9,68.0,2017-02-08 00:00,,0.2,12,41,,,,
淡水,新北市,36,nan,良好,5.0,0.22,32,39.0,23,11,8.0,9.1,1.1,nan,nan,2017-02-08 00:00,,0.2,8,27,,,,
士林,臺北市,35,nan,良好,7.2,0.18,38,38.0,26,8,10.0,12.0,1.8,2.3,111.0,2017-02-08 00:00,,0.2,10,34,,,,
基隆,基隆市,34,nan,良好,0.5,0.48,9.4,28.0,20,9,20.0,22.0,1.8,0.5,23.0,2017-02-08 01:00,,0.3,11,25,,,,
汐止,新北市,37,nan,良好,2.4,0.28,23,28.0,31,11,17.0,19.0,2.3,1.7,52.0,2017-02-08 01:00,,0.3,11,31,,,,
萬里,新北市,44,nan,良好,2.7,0.14,33,42.0,40,12,4.6,6.1,1.5,1.9,196.0,2017-02-08 01:00,,0.1,13,47,,,,
新店,新北市,37,nan,良好,1.5,0.21,37,36.0,26,10,8.5,9.5,1.0,2.3,84.0,2017-02-08 01:00,,0.3,12,30,,,,
土城,新北市,31,nan,良好,2.1,0.29,33,34.0,28,11,13.0,14.0,0.8,1.2,199.0,2017-02-08 01:00,,0.4,9,31,,,,
