SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
中壢,桃園市,25.0,,良好,1.8,0.65,14,12.0,17.0,17,19.0,23.0,4.8,1.4,20.0,2017-11-23 00:00,,0.8,8.0,27.0,2.0,,,
竹山,南投縣,72.0,細懸浮微粒,普通,-0.2,0.43,14,17.0,30.0,16,15.0,18.0,3.4,1.5,334.0,2017-11-23 00:00,,0.4,24.0,40.0,1.0,,,
永和,新北市,24.0,,良好,1.0,0.95,7.5,5.0,13.0,4,24.0,34.0,10.0,0.6,266.0,2017-11-23 00:00,,1.3,8.0,15.0,1.0,,,
復興,高雄市,81.0,細懸浮微粒,普通,2.1,0.5,11,19.0,60.0,25,23.0,25.0,2.2,1.9,132.0,2017-11-23 00:00,,0.7,28.0,87.0,2.0,,,
埔里,南投縣,64.0,細懸浮微粒,普通,1.2,0.35,12,32.0,31.0,18,13.0,13.0,0.0,1.1,312.0,2017-11-23 00:00,,0.4,21.0,35.0,2.0,,,
馬祖,連江縣,33.0,,良好,1.6,0.2,35,36.0,13.0,9,3.3,3.8,0.5,4.3,36.0,2017-11-23 00:00,,0.3,9.0,15.0,2.0,,,
金門,金門縣,55.0,細懸浮微粒,普通,3.5,0.36,22,30.0,40.0,17,7.2,8.7,1.5,3.6,30.0,2017-11-23 00:00,,0.4,17.0,39.0,10.0,,,
馬公,澎湖縣,34.0,,良好,1.0,0.24,35,37.0,12.0,6,2.4,3.0,0.7,7.0,19.0,2017-11-23 00:00,,0.2,8.0,13.0,1.0,,,
關山,臺東縣,25.0,,良好,0.8,,23,27.0,25.0,7,4.4,6.0,1.6,1.8,47.0,2017-11-23 00:00,,,7.0,22.0,1.0,,,
麥寮,雲林縣,72.0,懸浮微粒,普通,2.4,0.41,24,27.0,81.0,12,9.7,10.0,0.5,7.5,11.0,2017-11-23 00:00,,0.4,18.0,85.0,3.0,,,
基隆,基隆市,20.0,,良好,1.7,0.47,24,22.0,16.0,7,10.0,12.0,1.5,1.5,84.0,2017-11-23 01:00,,0.5,6.0,12.0,3.0,,,
